country;total points;;;
People's Republic of China;252;;;
Republic of Korea;208;;;
United States of America;207;;;
Vietnam;196;;;
Romania;194;;;
Thailand;193;;;
Germany;192;;;
Islamic Republic of Iran;191;;;
Japan;191;;;
Israel;188;;;
Italy;188;;;
Poland;183;;;
United Kingdom;179;;;
Canada;178;;;
Taiwan;178;;;
Bulgaria;177;;;
Kazakhstan;174;;;
Ukraine;174;;;
Brazil;173;;;
Hong Kong;173;;;
Peru;173;;;
Saudi Arabia;168;;;
Mexico;167;;;
India;165;;;
Singapore;165;;;
Armenia;163;;;
Greece;163;;;
Turkey;163;;;
Australia;162;;;
Mongolia;162;;;
Belarus;160;;;
France;158;;;
Hungary;158;;;
Azerbaijan;157;;;
Croatia;157;;;
Bosnia and Herzegovina;154;;;
Serbia;153;;;
Indonesia;151;;;
North Macedonia;148;;;
Netherlands;145;;;
Switzerland;145;;;
Argentina;139;;;
Spain;139;;;
Malaysia;137;;;
Portugal;137;;;
Slovakia;136;;;
Republic of Moldova;135;;;
Lithuania;129;;;
Macau;127;;;
Estonia;124;;;
Uzbekistan;124;;;
Czech Republic;122;;;
Denmark;121;;;
Georgia;121;;;
Philippines;119;;;
Austria;118;;;
Bangladesh;115;;;
New Zealand;108;;;
Tajikistan;107;;;
Sweden;106;;;
Norway;103;;;
Finland;101;;;
Belgium;94;;;
Latvia;94;;;
South Africa;94;;;
Costa Rica;92;;;
Cyprus;85;;;
Tunisia;85;;;
Ireland;84;;;
Morocco;82;;;
Syria;82;;;
Slovenia;79;;;
Sri Lanka;77;;;
Algeria;75;;;
Colombia;74;;;
Kyrgyzstan;73;;;
Albania;62;;;
Paraguay;59;;;
Bolivia;57;;;
El Salvador;56;;;
Kosovo;55;;;
Pakistan;54;;;
Iceland;51;;;
Mauritania;42;;;
Panama;42;;;
Puerto Rico;40;;;
Rwanda;34;;;
Honduras;31;;;
Chile;27;;;
Ecuador;27;;;
Nepal;27;;;
Uruguay;27;;;
Dominican Republic;26;;;
Luxembourg;26;;;
Montenegro;23;;;
Oman;19;;;
Ghana;18;;;
Botswana;17;;;
Palestine;14;;;
Cuba;13;;;
Uganda;13;;;
Liechtenstein;12;;;
United Arab Emirates;10;;;
Venezuela;7;;;